gene,U75_pp,U95_pp
Gabra1,1.0124812382169313,1.9329170768279829
Gabra2,1.447466548079927,2.4683640329975707
Gabra3,1.078558328638526,1.4216667234581604
Gabrb1,1.3308319203172068,1.8109910590041298
Gabrb2,0.7801556061854806,1.313415687551841
Gabrg2,0.9706258288172107,1.437653909103697
Htr1a,0.6694773905189012,1.012228867790174
Htr2a,1.1404989845068574,1.896974126737312
Htr2c,2.384950574049581,3.16138351527547
Htr7,1.5113925816898306,2.659866929307262
Drd1,1.7166382085831597,1.942265014807374
Drd2,1.1458724408899332,1.5326831420331435
Drd3,0.9445007150282302,1.560871153783711
Drd4,0.031995839998161836,0.08368503045061582
Oprk1,1.1812390320163342,1.6747254228686743
Oprm1,0.8844766347533978,1.4783981129191106
Oprd1,0.913255680285372,1.3397574918413697
Grin1,1.3044421065720782,2.056116849179477
Grin2a,1.5590720601497694,2.142425922237179
Grin2b,1.2654791919206758,2.6931894098907034
Gria1,1.2443299403215349,2.0574918443297956
Gria2,1.7984841922757364,2.1994082952048615
Adra2a,0.9836230096375043,1.7067412224106544
Adra2c,1.1936430839676253,1.6937342066095131
Chrna4,1.6858485405195571,3.2466798958489647
Chrnb2,1.0708989088910998,2.2189627481355854
